Index	Name	Type	Nullable	References	Description
1	classid	oid	false		"the oid of the system catalog the dependent object is in"
2	objid	oid	false		"the oid of the specific dependent object"
3	objsubid	int4	false		"for a table column, this is the column number (the objid and classid refer to the table itself). for all other object types, this column is zero."
4	refclassid	oid	false		"the oid of the system catalog the referenced object is in"
5	refobjid	oid	false		"the oid of the specific referenced object"
6	refobjsubid	int4	false		"for a table column, this is the column number (the refobjid and refclassid refer to the table itself). for all other object types, this column is zero."
7	deptype	char	false		"a code defining the specific semantics of this dependency relationship; see text"
