Index	Name	Type	Nullable	References	Description
-2	oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
1	collname	name	false		"collation name (unique per namespace and encoding)"
2	collnamespace	oid	false		"the oid of the namespace that contains this collation"
3	collowner	oid	false		"owner of the collation"
4	collencoding	int4	false		"encoding in which the collation is applicable, or -1 if it works for any encoding"
5	collcollate	name	false		"lc_collate for this collation object"
6	collctype	name	false		"lc_ctype for this collation object"
