Name	Type	References	Description
inhrelid	oid	pg_class.oid	"the oid of the child table"
inhparent	oid	pg_class.oid	"the oid of the parent table"
inhseqno	int4		"if there is more than one direct parent for a child table (multiple inheritance), this number tells the order in which the inherited columns are to be arranged. the count starts at 1"
