Index	Name	Type	Nullable	References	Description
1	srvname	name			"name of the foreign server"
2	srvowner	oid		pg_authid.oid	"owner of the foreign server"
3	srvfdw	oid		pg_foreign_data_wrapper.oid	"the oid of the foreign-data wrapper of this foreign server"
4	srvtype	text			"type of the server (optional)"
5	srvversion	text			"version of the server (optional)"
6	srvacl	aclitem[]			"access privileges; see grant and revoke for details"
7	srvoptions	text[]			"foreign server specific options, as ""keyword=value"" strings"
