Index	Name	Type	References	Description
0	dictname	NAME			"text search dictionary name"
1	dictnamespace	OID		pg_namespace.oid	"the oid of the namespace that contains this dictionary"
2	dictowner	OID		pg_authid.oid	"owner of the dictionary"
3	dicttemplate	OID		pg_ts_template.oid	"the oid of the text search template for this dictionary"
4	dictinitoption	TEXT			"initialization option string for the template"
