Index	Name	Type	Nullable	References	Description
1	aggfnoid	regproc	false		"pg_proc oid of the aggregate function"
2	aggtransfn	regproc	false		"transition function"
3	aggfinalfn	regproc	false		"final function (zero if none)"
4	aggsortop	oid	false		"associated sort operator (zero if none)"
5	aggtranstype	oid	false		"data type of the aggregate function's internal transition (state) data"
6	agginitval	text	true		"the initial value of the transition state. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
2	aggkind	char			"aggregate kind: n for ""normal"" aggregates, o for ""ordered-set"" aggregates, or h for ""hypothetical-set"" aggregates"
3	aggnumdirectargs	int2			"number of direct (non-aggregated) arguments of an ordered-set or hypothetical-set aggregate, counting a variadic array as one argument. if equal to pronargs, the aggregate must be variadic and the variadic array describes the aggregated arguments as well as the final direct arguments. always zero for normal aggregates."
6	aggcombinefn	regproc			"combine function (zero if none)"
7	aggserialfn	regproc			"serialization function (zero if none)"
8	aggdeserialfn	regproc			"deserialization function (zero if none)"
9	aggmtransfn	regproc			"forward transition function for moving-aggregate mode (zero if none)"
10	aggminvtransfn	regproc			"inverse transition function for moving-aggregate mode (zero if none)"
11	aggmfinalfn	regproc			"final function for moving-aggregate mode (zero if none)"
12	aggfinalextra	bool			"true to pass extra dummy arguments to aggfinalfn"
13	aggmfinalextra	bool			"true to pass extra dummy arguments to aggmfinalfn"
16	aggtransspace	int4			"approximate average size (in bytes) of the transition state data, or zero to use a default estimate"
17	aggmtranstype	oid			"data type of the aggregate function's internal transition (state) data for moving-aggregate mode (zero if none)"
18	aggmtransspace	int4			"approximate average size (in bytes) of the transition state data for moving-aggregate mode, or zero to use a default estimate"
20	aggminitval	text			"the initial value of the transition state for moving-aggregate mode. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
