Index	Name	Type	Nullable	References	Description
-1	oid	oid			"row identifier (hidden attribute; must be explicitly selected)"
1	tmplname	name			"text search template name"
2	tmplnamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this template"
3	tmplinit	regproc		pg_proc.oid	"oid of the template's initialization function"
4	tmpllexize	regproc		pg_proc.oid	"oid of the template's lexize function"
