Index	Name	Type	References	Description
0	polname	NAME			"the name of the policy"
1	polrelid	OID		pg_class.oid	"the table to which the policy applies"
2	polcmd	CHAR			"the command type to which the policy is applied: r for select, a for insert, w for update, d for delete, or * for all"
3	polpermissive	BOOLEAN			"is the policy permissive or restrictive?"
4	polroles	OID[]		pg_authid.oid	"the roles to which the policy is applied"
5	polqual	PG_NODE_TREE			"the expression tree to be added to the security barrier qualifications for queries that use the table"
6	polwithcheck	PG_NODE_TREE			"the expression tree to be added to the with check qualifications for queries that attempt to add rows to the table"
