Index	Name	Type	Nullable	References	Description
-2	oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
1	rolname	name	false		"role name"
2	rolsuper	bool	false		"role has superuser privileges"
3	rolinherit	bool	false		"role automatically inherits privileges of roles it is a member of"
4	rolcreaterole	bool	false		"role can create more roles"
5	rolcreatedb	bool	false		"role can create databases"
7	rolcanlogin	bool	false		"role can log in. that is, this role can be given as the initial session authorization identifier."
8	rolreplication	bool	false		"role is a replication role. a replication role can initiate replication connections and create and drop replication slots."
9	rolconnlimit	int4	false		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
10	rolpassword	text	true		"password (possibly encrypted); null if none. the format depends on the form of encryption used."
11	rolvaliduntil	timestamptz	true		"password expiry time (only used for password authentication); null if no expiration"
8	rolbypassrls	bool			"role bypasses every row level security policy"
