Index	Name	Type	Nullable	References	Description
1	oid	oid			"row identifier (hidden attribute; must be explicitly selected)"
2	enumtypid	oid		pg_type.oid	"the oid of the pg_type entry owning this enum value"
3	enumsortorder	float4			"the sort position of this enum value within its enum type"
4	enumlabel	name			"the textual label for this enum value"
