Index	Name	Type	References	Description
0	trftype	OID		pg_type.oid	"oid of the data type this transform is for"
1	trflang	OID		pg_language.oid	"oid of the language this transform is for"
2	trffromsql	REGPROC		pg_proc.oid	"the oid of the function to use when converting the data type for input to the procedural language (e.g., function parameters). zero is stored if this operation is not supported."
3	trftosql	REGPROC		pg_proc.oid	"the oid of the function to use when converting output from the procedural language (e.g., return values) to the data type. zero is stored if this operation is not supported."
