Index	Name	Type	References	Description
0	objoid	OID		"any oid column"	"the oid of the object this security label pertains to"
1	classoid	OID		pg_class.oid	"the oid of the system catalog this object appears in"
2	provider	TEXT			"the label provider associated with this label."
3	label	TEXT			"the security label applied to this object."
