Index	Name	Type	Nullable	References	Description
1	oid	oid			"row identifier (hidden attribute; must be explicitly selected)"
2	amname	name			"name of the access method"
3	amstrategies	int2			"number of operator strategies for this access method, or zero if access method does not have a fixed set of operator strategies"
4	amsupport	int2			"number of support routines for this access method"
5	amcanorder	bool			"does the access method support ordered scans sorted by the indexed column's value?"
6	amcanorderbyop	bool			"does the access method support ordered scans sorted by the result of an operator on the indexed column?"
7	amcanbackward	bool			"does the access method support backward scanning?"
8	amcanunique	bool			"does the access method support unique indexes?"
9	amcanmulticol	bool			"does the access method support multicolumn indexes?"
10	amoptionalkey	bool			"does the access method support a scan without any constraint for the first index column?"
11	amsearcharray	bool			"does the access method support scalararrayopexpr searches?"
12	amsearchnulls	bool			"does the access method support is null/not null searches?"
13	amstorage	bool			"can index storage data type differ from column data type?"
14	amclusterable	bool			"can an index of this type be clustered on?"
15	ampredlocks	bool			"does an index of this type manage fine-grained predicate locks?"
16	amkeytype	oid		pg_type.oid	"type of data stored in index, or zero if not a fixed type"
17	aminsert	regproc		pg_proc.oid	"""insert this tuple"" function"
18	ambeginscan	regproc		pg_proc.oid	"""prepare for index scan"" function"
19	amgettuple	regproc		pg_proc.oid	"""next valid tuple"" function, or zero if none"
20	amgetbitmap	regproc		pg_proc.oid	"""fetch all valid tuples"" function, or zero if none"
21	amrescan	regproc		pg_proc.oid	"""(re)start index scan"" function"
22	amendscan	regproc		pg_proc.oid	"""clean up after index scan"" function"
23	ammarkpos	regproc		pg_proc.oid	"""mark current scan position"" function"
24	amrestrpos	regproc		pg_proc.oid	"""restore marked scan position"" function"
25	ambuild	regproc		pg_proc.oid	"""build new index"" function"
26	ambuildempty	regproc		pg_proc.oid	"""build empty index"" function"
27	ambulkdelete	regproc		pg_proc.oid	"bulk-delete function"
28	amvacuumcleanup	regproc		pg_proc.oid	"post-vacuum cleanup function"
29	amcanreturn	regproc		pg_proc.oid	"function to check whether an index column supports index-only scans. can be zero if index-only scans are never supported."
30	amcostestimate	regproc		pg_proc.oid	"function to estimate cost of an index scan"
31	amoptions	regproc		pg_proc.oid	"function to parse and validate reloptions for an index"
