Index	Name	Type	Nullable	References	Description
1	aggfnoid	regproc	false		"pg_proc oid of the aggregate function"
2	aggkind	char	false		"aggregate kind: n for ""normal"" aggregates, o for ""ordered-set"" aggregates, or h for ""hypothetical-set"" aggregates"
3	aggnumdirectargs	int2	false		"number of direct (non-aggregated) arguments of an ordered-set or hypothetical-set aggregate, counting a variadic array as one argument. if equal to pronargs, the aggregate must be variadic and the variadic array describes the aggregated arguments as well as the final direct arguments. always zero for normal aggregates."
4	aggtransfn	regproc	false		"transition function"
5	aggfinalfn	regproc	false		"final function (zero if none)"
6	aggmtransfn	regproc	false		"forward transition function for moving-aggregate mode (zero if none)"
7	aggminvtransfn	regproc	false		"inverse transition function for moving-aggregate mode (zero if none)"
8	aggmfinalfn	regproc	false		"final function for moving-aggregate mode (zero if none)"
9	aggfinalextra	bool	false		"true to pass extra dummy arguments to aggfinalfn"
10	aggmfinalextra	bool	false		"true to pass extra dummy arguments to aggmfinalfn"
11	aggsortop	oid	false		"associated sort operator (zero if none)"
12	aggtranstype	oid	false		"data type of the aggregate function's internal transition (state) data"
13	aggtransspace	int4	false		"approximate average size (in bytes) of the transition state data, or zero to use a default estimate"
14	aggmtranstype	oid	false		"data type of the aggregate function's internal transition (state) data for moving-aggregate mode (zero if none)"
15	aggmtransspace	int4	false		"approximate average size (in bytes) of the transition state data for moving-aggregate mode, or zero to use a default estimate"
16	agginitval	text	true		"the initial value of the transition state. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
17	aggminitval	text	true		"the initial value of the transition state for moving-aggregate mode. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
