Index	Name	Type	References	Description
0	objoid	OID		"any oid column"	"the oid of the object this security label pertains to"
1	classoid	OID		pg_class.oid	"the oid of the system catalog this object appears in"
2	objsubid	INT4			"for a security label on a table column, this is the column number (the objoid and classoid refer to the table itself). for all other object types, this column is zero."
3	provider	TEXT			"the label provider associated with this label."
4	label	TEXT			"the security label applied to this object."
