Index	Name	Type	Nullable	References	Description
0	prsname	name			"text search parser name"
1	prsnamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this parser"
2	prsstart	regproc		pg_proc.oid	"oid of the parser's startup function"
3	prstoken	regproc		pg_proc.oid	"oid of the parser's next-token function"
4	prsend	regproc		pg_proc.oid	"oid of the parser's shutdown function"
5	prsheadline	regproc		pg_proc.oid	"oid of the parser's headline function"
6	prslextype	regproc		pg_proc.oid	"oid of the parser's lextype function"
