Index	Name	Type	Nullable	References	Description
1	aggfnoid	regproc	false		"pg_proc oid of the aggregate function"
2	aggtransfn	regproc	false		"transition function"
3	aggfinalfn	regproc	false		"final function (zero if none)"
4	aggsortop	oid	false		"associated sort operator (zero if none)"
5	aggtranstype	oid	false		"data type of the aggregate function's internal transition (state) data"
6	agginitval	text	true		"the initial value of the transition state. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
