Name	Type	References	Description
local_id	Oid	pg_replication_origin.roident	internal node identifier
external_id	text	pg_replication_origin.roname	external node identifier
remote_lsn	pg_lsn	 	The origin node's LSN up to which data has been replicated.
local_lsn	pg_lsn	 	This node's LSN at which remote_lsn has been replicated. Used to flush commit records before persisting data to disk when using asynchronous commits.
