Name	Type	References	Description
loid	oid	pg_largeobject_metadata.oid	"identifier of the large object that includes this page"
pageno	int4		"page number of this page within its large object (counting from zero)"
data	bytea		"actual data stored in the large object. this will never be more than loblksize bytes and might be less."
