Index	Name	Type	Nullable	References	Description
0	oid	oid			"row identifier (hidden attribute; must be explicitly selected)"
1	rulename	name			"rule name"
2	ev_class	oid		pg_class.oid	"the table this rule is for"
3	ev_type	char			"event type that the rule is for: 1 = select, 2 = update, 3 = insert, 4 = delete"
4	ev_enabled	char			"controls in which session_replication_role modes the rule fires. o = rule fires in ""origin"" and ""local"" modes, d = rule is disabled, r = rule fires in ""replica"" mode, a = rule fires always."
5	is_instead	bool			"true if the rule is an instead rule"
6	ev_qual	pg_node_tree			"expression tree (in the form of a nodetostring() representation) for the rule's qualifying condition"
7	ev_action	pg_node_tree			"query tree (in the form of a nodetostring() representation) for the rule's action"
