Index	Name	Type	References	Description
0	setdatabase	OID		pg_database.oid	"the oid of the database the setting is applicable to, or zero if not database-specific"
1	setrole	OID		pg_authid.oid	"the oid of the role the setting is applicable to, or zero if not role-specific"
2	setconfig	TEXT[]			"defaults for run-time configuration variables"
