Index	Name	Type	Nullable	References	Description
0	usename	name		pg_authid.rolname	"user name"
1	usesysid	oid		pg_authid.oid	"id of this user"
2	usecreatedb	bool			"user may create databases"
3	usesuper	bool			"user is a superuser"
4	usecatupd	bool			"user may update system catalogs. (even a superuser may not do this unless this column is true.)"
5	passwd	text			"password (possibly encrypted)"
6	valuntil	abstime			"password expiry time (only used for password authentication)"
7	useconfig	text[]			"session defaults for run-time configuration variables"
