Index	Name	Type	Nullable	References	Description
0	classid	OID		pg_class.oid	"the oid of the system catalog the dependent object is in"
1	objid	OID		"any oid attribute"	"the oid of the specific dependent object"
2	objsubid	INT4			"for a table attribute, this is the attribute's column number (the objid and classid refer to the table itself). for all other object types, this field is presently zero."
3	refclassid	OID		pg_class.oid	"the oid of the system catalog the referenced object is in"
4	refobjid	OID		"any oid attribute"	"the oid of the specific referenced object"
5	refobjsubid	INT4			"for a table attribute, this is the attribute's column number (the refobjid and refclassid refer to the table itself). for all other object types, this field is presently zero."
6	deptype	CHAR			"a code defining the specific semantics of this dependency relationship."
