Name	Type	References	Description
transaction	xid	 	Numeric transaction identifier of the prepared transaction
gid	text	 	Global transaction identifier that was assigned to the transaction
prepared	timestamp with time zone	 	Time at which the transaction was prepared for commit
owner	name	pg_authid.rolname	Name of the user that executed the transaction
database	name	pg_database.datname	Name of the database in which the transaction was executed
