Name	Type	Description
name	name	Extension name
version	text	Version name
installed	bool	True if this version of this extension is currently\ninstalled
superuser	bool	True if only superusers are allowed to install this\nextension
relocatable	bool	True if extension can be relocated to another schema
schema	name	Name of the schema that the extension must be installed into,\nor NULL if partially or fully relocatable
requires	name[]	Names of prerequisite extensions, or NULL if none
comment	text	Comment string from the extension's control file
