Name	Type	References	Description
loid	oid	pg_largeobject_metadata.oid	Identifier of the large object that includes this page
pageno	int4	 	Page number of this page within its large object (counting from\nzero)
data	bytea	 	Actual data stored in the large object. This will never be more\nthan LOBLKSIZE bytes and might be less.
