Name	Type	Nullable	References	Description
ambeginscan	regproc		pg_proc.oid	"""start new scan"" function"
ambuild	regproc		pg_proc.oid	"""build new index"" function"
ambulkdelete	regproc		pg_proc.oid	"bulk-delete function"
amcanmulticol	bool			"does am support multicolumn indexes?"
amcanunique	bool			"does am support unique indexes?"
amconcurrent	bool			"does am support concurrent updates?"
amcostestimate	regproc		pg_proc.oid	"estimate cost of an indexscan"
amendscan	regproc		pg_proc.oid	"""end this scan"" function"
amgettuple	regproc		pg_proc.oid	"""next valid tuple"" function"
amindexnulls	bool			"does am support null index entries?"
aminsert	regproc		pg_proc.oid	"""insert this tuple"" function"
ammarkpos	regproc		pg_proc.oid	"""mark current scan position"" function"
amname	name			"name of the access method"
amorderstrategy	int2			"zero if the index offers no sort order, otherwise the strategy number of the strategy operator that describes the sort order"
amowner	int4		pg_shadow.usesysid	"user id of the owner (currently not used)"
amrescan	regproc		pg_proc.oid	"""restart this scan"" function"
amrestrpos	regproc		pg_proc.oid	"""restore marked scan position"" function"
amstrategies	int2			"number of operator strategies for this access method"
amsupport	int2			"number of support routines for this access method"
