Name	Type	References	Description
objoid	oid		The OID of the specific object
classoid	oid	pg_init_privs.[object Object]	The OID of the system catalog the object is in
objsubid	int4		For a table column, this is the column number (the objoid and classoid refer to the table itself). For all other object types, this column is zero.
privtype	char		A code defining the type of initial privilege of this object; see text
initprivs	aclitem[]		The initial access privileges; see Section 5.7 for details
