Name	Type	References	Description
ftrelid	oid	pg_foreign_table.oid	OID of the pg_class entry for this foreign table
ftserver	oid	pg_foreign_table.oid	OID of the foreign server for this foreign table
ftoptions	text[]		Foreign table options, as "keyword=value” strings
