Name	Type	References	Description
oid	oid		"row identifier"
roleid	oid		"id of a role that has a member"
member	oid		"id of a role that is a member of roleid"
grantor	oid		"id of the role that granted this membership"
admin_option	bool		"true if member can grant membership in roleid to others"
inherit_option	bool		"true if the member automatically inherits the privileges of the granted role"
set_option	bool		"true if the member can set role to the granted role"
