Name	Type	References	Description
oid	oid		"row identifier"
umuser	oid		"oid of the local role being mapped, or zero if the user mapping is public"
umserver	oid		"the oid of the foreign server that contains this mapping"
umoptions	text[]		"user mapping specific options, as ""keyword=value"" strings"
