Name	Type	References	Description
schemaname	name	pg_namespace.nspname	name of schema containing table
tablename	name	pg_class.relname	name of table
tableowner	name	pg_shadow.usename	name of table's owner
hasindexes	boolean	pg_class.relhasindex	true if table has (or recently had) any indexes
hasrules	boolean	pg_class.relhasrules	true if table has rules
hastriggers	boolean	pg_class.reltriggers	true if table has triggers
