Index	Name	Type	References	Description
0	transaction	XID			"numeric transaction identifier of the prepared transaction"
1	gid	TEXT			"global transaction identifier that was assigned to the transaction"
2	prepared	"TIMESTAMP WITH TIME ZONE"			"time at which the transaction was prepared for commit"
3	owner	NAME		pg_authid.rolname	"name of the user that executed the transaction"
4	database	NAME		pg_database.datname	"name of the database in which the transaction was executed"
