Index	Name	Type	References	Description
0	extname	NAME			"name of the extension"
1	extowner	OID		pg_authid.oid	"owner of the extension"
2	extnamespace	OID		pg_namespace.oid	"schema containing the extension's exported objects"
3	extrelocatable	BOOL			"true if extension can be relocated to another schema"
4	extversion	TEXT			"version name for the extension"
5	extconfig	OID[]		pg_class.oid	"array of regclass oids for the extension's configuration table(s), or null if none"
6	extcondition	TEXT[]			"array of where-clause filter conditions for the extension's configuration table(s), or null if none"
