Name	Type	References	Description
oid	oid		Row identifier
cfgname	name		Text search configuration name
cfgnamespace	oid	pg_ts_config.oid	The OID of the namespace that contains this configuration
cfgowner	oid	pg_ts_config.oid	Owner of the configuration
cfgparser	oid	pg_ts_config.oid	The OID of the text search parser for this configuration
