Name	Type	References	Description
schemaname	name	pg_matviews.nspname	Name of schema containing materialized view
matviewname	name	pg_matviews.relname	Name of materialized view
matviewowner	name	pg_matviews.rolname	Name of materialized view's owner
tablespace	name	pg_matviews.spcname	Name of tablespace containing materialized view (null if default for database)
hasindexes	bool		True if materialized view has (or recently had) any indexes
ispopulated	bool		True if materialized view is currently populated
definition	text		Materialized view definition (a reconstructed SELECT query)
