Name	Type	References	Description
oid	oid		Row identifier
trftype	oid	pg_transform.oid	OID of the data type this transform is for
trflang	oid	pg_transform.oid	OID of the language this transform is for
trffromsql	regproc	pg_transform.oid	The OID of the function to use when converting the data type for input to the procedural language (e.g., function parameters). Zero is stored if the default behavior should be used.
trftosql	regproc	pg_transform.oid	The OID of the function to use when converting output from the procedural language (e.g., return values) to the data type. Zero is stored if the default behavior should be used.
