Name	Type	References	Description
oid	oid		"row identifier"
oprname	name		"name of the operator"
oprnamespace	oid		"the oid of the namespace that contains this operator"
oprowner	oid		"owner of the operator"
oprkind	char		"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
oprcanmerge	bool		"this operator supports merge joins"
oprcanhash	bool		"this operator supports hash joins"
oprleft	oid		"type of the left operand"
oprright	oid		"type of the right operand"
oprresult	oid		"type of the result"
oprcom	oid		"commutator of this operator, if any"
oprnegate	oid		"negator of this operator, if any"
oprcode	regproc		"function that implements this operator"
oprrest	regproc		"restriction selectivity estimation function for this operator"
oprjoin	regproc		"join selectivity estimation function for this operator"
