Name	Type	References	Description
usename	name	pg_authid.rolname	"user name"
usesysid	oid	pg_authid.oid	"id of this user"
usecreatedb	bool		"user may create databases"
usesuper	bool		"user is a superuser"
usecatupd	bool		"user may update system catalogs. (even a superuser may not do this unless this column is true.)"
passwd	text		"password (possibly encrypted)"
valuntil	abstime		"password expiry time (only used for password authentication)"
useconfig	text[]		"session defaults for run-time configuration variables"
