Index	Name	Type	References	Description
0	schemaname	NAME		pg_namespace.nspname	"name of schema containing materialized view"
1	matviewname	NAME		pg_class.relname	"name of materialized view"
2	matviewowner	NAME		pg_authid.rolname	"name of materialized view's owner"
3	tablespace	NAME		pg_tablespace.spcname	"name of tablespace containing materialized view (null if default for database)"
4	hasindexes	BOOLEAN			"true if materialized view has (or recently had) any indexes"
5	ispopulated	BOOLEAN			"true if materialized view is currently populated"
6	definition	TEXT			"materialized view definition (a reconstructed select query)"
