Index	Name	Type	References	Description
0	oid	OID			"row identifier"
1	nspname	NAME			"name of the namespace"
2	nspowner	OID		pg_authid.oid	"owner of the namespace"
3	nspacl	ACLITEM[]			"access privileges; see section 5.7 for details"
