Index	Name	Type	Nullable	References	Description
0	oid	OID			"row identifier"
1	srvname	NAME			"name of the foreign server"
2	srvowner	OID		pg_authid.oid	"owner of the foreign server"
3	srvfdw	OID		pg_foreign_data_wrapper.oid	"oid of the foreign-data wrapper of this foreign server"
4	srvtype	TEXT			"type of the server (optional)"
5	srvversion	TEXT			"version of the server (optional)"
6	srvacl	ACLITEM[]			"access privileges; see section 5.7 for details"
7	srvoptions	TEXT[]			"foreign server specific options, as “keyword=value” strings"
