Index	Name	Type	References	Description
0	oid	OID			"row identifier"
1	amprocfamily	OID		pg_opfamily.oid	"the operator family this entry is for"
2	amproclefttype	OID		pg_type.oid	"left-hand input data type of associated operator"
3	amprocrighttype	OID		pg_type.oid	"right-hand input data type of associated operator"
4	amprocnum	INT2			"support function number"
5	amproc	REGPROC		pg_proc.oid	"oid of the function"
