Index	Name	Type	References	Description
0	oid	OID			"row identifier"
1	extname	NAME			"name of the extension"
2	extowner	OID		pg_authid.oid	"owner of the extension"
3	extnamespace	OID		pg_namespace.oid	"schema containing the extension's exported objects"
4	extrelocatable	BOOL			"true if extension can be relocated to another schema"
5	extversion	TEXT			"version name for the extension"
6	extconfig	OID[]		pg_class.oid	"array of regclass oids for the extension's configuration table(s), or null if none"
7	extcondition	TEXT[]			"array of where-clause filter conditions for the extension's configuration table(s), or null if none"
