Index	Name	Type	References	Description
0	oid	OID			"row identifier"
1	amname	NAME			"name of the access method"
2	amhandler	REGPROC		pg_proc.oid	"oid of a handler function that is responsible for supplying information about the access method"
3	amtype	CHAR			"t = table (including materialized views), i = index."
