Index	Name	Type	Nullable	References	Description
0	oid	OID			"row identifier"
1	rulename	NAME			"rule name"
2	ev_class	OID		pg_class.oid	"the table this rule is for"
3	ev_type	CHAR			"event type that the rule is for: 1 = select, 2 = update, 3 = insert, 4 = delete"
4	ev_enabled	CHAR			"controls in which session_replication_role modes the rule fires. o = rule fires in ""origin"" and ""local"" modes, d = rule is disabled, r = rule fires in ""replica"" mode, a = rule fires always."
5	is_instead	BOOL			"true if the rule is an instead rule"
6	ev_qual	PG_NODE_TREE			"expression tree (in the form of a nodetostring() representation) for the rule's qualifying condition"
7	ev_action	PG_NODE_TREE			"query tree (in the form of a nodetostring() representation) for the rule's action"
