Index	Name	Type	References	Description
0	tmplname	NAME			"name of the language this template is for"
1	tmpltrusted	BOOLEAN			"true if language is considered trusted"
2	tmpldbacreate	BOOLEAN			"true if language may be created by a database owner"
3	tmplhandler	TEXT			"name of call handler function"
4	tmplinline	TEXT			"name of anonymous-block handler function, or null if none"
5	tmplvalidator	TEXT			"name of validator function, or null if none"
6	tmpllibrary	TEXT			"path of shared library that implements language"
7	tmplacl	ACLITEM[]			"access privileges for template (not actually used)"
