Index	Name	Type	Nullable	References	Description
1	oid	oid	false		"row identifier"
2	oprname	name	false		"name of the operator"
3	oprnamespace	oid	false		"the oid of the namespace that contains this operator"
4	oprowner	oid	false		"owner of the operator"
5	oprkind	char	false		"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
6	oprcanmerge	bool	false		"this operator supports merge joins"
7	oprcanhash	bool	false		"this operator supports hash joins"
8	oprleft	oid	false		"type of the left operand"
9	oprright	oid	false		"type of the right operand"
10	oprresult	oid	false		"type of the result"
11	oprcom	oid	false		"commutator of this operator, if any"
12	oprnegate	oid	false		"negator of this operator, if any"
13	oprcode	regproc	false		"function that implements this operator"
14	oprrest	regproc	false		"restriction selectivity estimation function for this operator"
15	oprjoin	regproc	false		"join selectivity estimation function for this operator"
