Index	Name	Type	Nullable	References	Description
1	oid	oid	false		<undocumented>
2	polname	name	false		"the name of the policy"
3	polrelid	oid	false		"the table to which the policy applies"
4	polcmd	char	false		"the command type to which the policy is applied: r for select, a for insert, w for update, d for delete, or * for all"
5	polpermissive	bool	false		"is the policy permissive or restrictive?"
6	polroles	oid[]	false		"the roles to which the policy is applied"
7	polqual	pg_node_tree	true		"the expression tree to be added to the security barrier qualifications for queries that use the table"
8	polwithcheck	pg_node_tree	true		"the expression tree to be added to the with check qualifications for queries that attempt to add rows to the table"
