Name	Type	References	Description
vacrelid	oid	pg_class.oid	The table this entry is for
enabled	bool	 	If false, this table is never autovacuumed
vac_base_thresh	integer	 	Minimum number of modified tuples before vacuum
vac_scale_factor	float4	 	Multiplier for reltuples to add to vac_base_thresh
anl_base_thresh	integer	 	Minimum number of modified tuples before analyze
anl_scale_factor	float4	 	Multiplier for reltuples to add to anl_base_thresh
vac_cost_delay	integer	 	Custom vacuum_cost_delay parameter
vac_cost_limit	integer	 	Custom vacuum_cost_limit parameter
