Index	Name	Type	Nullable	References	Description
1	roleid	oid			"id of a role that has a member"
2	member	oid			"id of a role that is a member of roleid"
3	grantor	oid			"id of the role that granted this membership"
4	admin_option	bool			"true if member can grant membership in roleid to others"
