Index	Name	Type	Nullable	References	Description
1	oid	oid			"row identifier"
2	conname	name			"conversion name (unique within a namespace)"
3	connamespace	oid			"the oid of the namespace that contains this conversion"
4	conowner	oid			"owner of the conversion"
5	conforencoding	int4			"source encoding id (pg_encoding_to_char() can translate this number to the encoding name)"
6	contoencoding	int4			"destination encoding id (pg_encoding_to_char() can translate this number to the encoding name)"
7	conproc	regproc			"conversion function"
8	condefault	bool			"true if this is the default conversion"
