Index	Name	Type	Nullable	References	Description
0	oid	OID			"row identifier"
1	oprname	NAME			"name of the operator"
2	oprnamespace	OID			"the oid of the namespace that contains this operator"
3	oprowner	OID			"owner of the operator"
4	oprkind	CHAR			"b = infix operator (""both""), or l = prefix operator (""left"")"
5	oprcanmerge	BOOL			"this operator supports merge joins"
6	oprcanhash	BOOL			"this operator supports hash joins"
7	oprleft	OID			"type of the left operand (zero for a prefix operator)"
8	oprright	OID			"type of the right operand"
9	oprresult	OID			"type of the result (zero for a not-yet-defined ""shell"" operator)"
10	oprcom	OID			"commutator of this operator (zero if none)"
11	oprnegate	OID			"negator of this operator (zero if none)"
12	oprcode	REGPROC			"function that implements this operator (zero for a not-yet-defined ""shell"" operator)"
13	oprrest	REGPROC			"restriction selectivity estimation function for this operator (zero if none)"
14	oprjoin	REGPROC			"join selectivity estimation function for this operator (zero if none)"
