Name	Type	Nullable	References	Description
amopclaid	oid		pg_opclass.oid	"the index operator class this entry is for"
amopopr	oid		pg_operator.oid	"oid of the operator"
amopreqcheck	bool			"index hit must be rechecked"
amopstrategy	int2			"operator strategy number"
amopsubtype	oid		pg_type.oid	"subtype to distinguish multiple entries for one strategy; zero for default"
