Index	Name	Type	Nullable	References	Description
0	schemaname	name		pg_namespace.nspname	"name of schema containing table policy is on"
1	tablename	name		pg_class.relname	"name of table policy is on"
2	policyname	name		pg_policy.polname	"name of policy"
3	roles	name[]			"the roles to which this policy applies"
4	cmd	text			"the command type to which the policy is applied"
5	qual	text			"the expression added to the security barrier qualifications for queries that this policy applies to"
6	with_check	text			"the expression added to the with check qualifications for queries that attempt to add rows to this table"
