Name	Type	Description
name	text	The name of the cursor	 
statement	text	The verbatim query string submitted to declare this\n cursor	 
is_holdable	boolean	true if the cursor is\n holdable (that is, it can be accessed after the transaction that declared the cursor has committed); false otherwise	 
is_binary	boolean	true if the cursor was\n declared BINARY; false otherwise	 
is_scrollable	boolean	true if the cursor is\n scrollable (that is, it allows rows to be retrieved in a nonsequential manner); false otherwise	 
creation_time	timestamptz	The time at which the cursor was declared	 
