Index	Name	Type	References	Description
0	oid	OID			"row identifier (hidden attribute; must be explicitly selected)"
1	adrelid	OID		pg_class.oid	"the table this column belongs to"
2	adnum	INT2		pg_attribute.attnum	"the number of the column"
3	adbin	PG_NODE_TREE			"the internal representation of the column default value"
4	adsrc	TEXT			"a human-readable representation of the default value"
