Name	Type	Nullable	References	Description
srvacl	aclitem[]			"access privileges; see grant and revoke for details"
srvfdw	oid		pg_foreign_data_wrapper.oid	"oid of the foreign-data wrapper of this foreign server"
srvname	name			"name of the foreign server"
srvoptions	text[]			"foreign server specific options, as ""keyword=value"" strings"
srvowner	oid		pg_authid.oid	"owner of the foreign server"
srvtype	text			"type of the server (optional)"
srvversion	text			"version of the server (optional)"
