Name	Type	Nullable	References	Description
ftoptions	text[]			"foreign table options, as ""keyword=value"" strings"
ftrelid	oid		pg_class.oid	"oid of the pg_class entry for this foreign table"
ftserver	oid		pg_foreign_server.oid	"oid of the foreign server for this foreign table"
