Name	Type	References	Description
umuser	oid	pg_authid.oid	OID of the local role being mapped, 0 if the user\n mapping is public
umserver	oid	pg_foreign_server.oid	The OID of the foreign server that contains this\n mapping
umoptions	text[]	 	User mapping specific options, as "keyword=value" strings
