Name	Type	Nullable	References	Description
line_number	int4	true		"line number of this map in pg_ident.conf"
map_name	text	true		"name of the map"
sys_name	text	true		"detected user name of the client"
pg_username	text	true		"requested postgresql user name"
error	text	true		"if not null, an error message indicating why this line could not be processed"
