Index	Name	Type	Nullable	References	Description
0	opcamid	oid		pg_am.oid	"index access method operator class is for"
1	opcname	name			"name of this operator class"
2	opcnamespace	oid		pg_namespace.oid	"namespace of this operator class"
3	opcowner	oid		pg_authid.oid	"owner of the operator class"
4	opcintype	oid		pg_type.oid	"data type that the operator class indexes"
5	opcdefault	bool			"true if this operator class is the default for opcintype"
6	opckeytype	oid		pg_type.oid	"type of data stored in index, or zero if same as opcintype"
