Index	Name	Type	Nullable	References	Description
0	oid	oid			"row identifier"
1	amprocfamily	oid			"the operator family this entry is for"
2	amproclefttype	oid			"left-hand input data type of associated operator"
3	amprocrighttype	oid			"right-hand input data type of associated operator"
4	amprocnum	int2			"support function number"
5	amproc	regproc			"oid of the function"
