Index	Name	Type	Nullable	References	Description
0	rngtypid	OID			"oid of the range type"
1	rngsubtype	OID			"oid of the element type (subtype) of this range type"
2	rngcollation	OID			"oid of the collation used for range comparisons, or 0 if none"
3	rngsubopc	OID			"oid of the subtype's operator class used for range comparisons"
4	rngcanonical	REGPROC			"oid of the function to convert a range value into canonical form, or 0 if none"
5	rngsubdiff	REGPROC			"oid of the function to return the difference between two element values as double precision, or 0 if none"
